"date","time","location","bytes","request_ip","method","host","uri","status","referrer","user_agent","query_string","cookie","result_type","request_id","host_header","request_protocol","request_bytes","time_taken","xforwarded_for","ssl_protocol","ssl_cipher","response_result_type","http_version","fle_status","fle_encrypted_fields","c_port","time_to_first_byte","x_edge_detailed_result_type","sc_content_type","sc_content_len","sc_range_start","sc_range_end"
"2022-02-04","05:31:49","LAX3-C3","574","217.160.192.178","GET","d1wndwkcgt1a74.cloudfront.net","/","301","anonymousfox.co","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/90.0.4430.85%20Safari/537.36","-","-","Redirect","MAVubwUiwUmoStfaYzTkx_AGVUMTkjnkhpujk_jFFrO42xiJ1SuDJw==","psolar.mx","http","438","0.0","-","-","-","Redirect","HTTP/1.1","-",,"58631","0.0","Redirect","text/html","183",,
"2022-02-04","05:31:27","LAX3-C3","574","217.160.192.178","GET","d1wndwkcgt1a74.cloudfront.net","/","301","anonymousfox.co","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/90.0.4430.85%20Safari/537.36","-","-","Redirect","DOPmOIec5hElJon9tY7IjHuLJ__sD9V4zJlrvjyccUdL5G12KIFeFw==","psolar.mx","http","438","0.0","-","-","-","Redirect","HTTP/1.1","-",,"61625","0.0","Redirect","text/html","183",,
"2022-02-04","05:32:10","LAX3-C3","574","217.160.192.178","GET","d1wndwkcgt1a74.cloudfront.net","/","301","anonymousfox.co","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/90.0.4430.85%20Safari/537.36","-","-","Redirect","1nsBd_UEwqq0E2HZB7kzmWHIszBAtyDC5mAc2f_nAabHuVYtefx8BQ==","psolar.mx","http","438","0.0","-","-","-","Redirect","HTTP/1.1","-",,"53879","0.0","Redirect","text/html","183",,
"2022-02-04","05:32:11","LAX3-C3","19767","217.160.192.178","GET","d1wndwkcgt1a74.cloudfront.net","/","200","anonymousfox.co","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/90.0.4430.85%20Safari/537.36","-","-","Hit","uSwNdjUPH9M-a54AuHVIRezQ9wyUCWoAK4ULjjNC0zfRs9z-FS-Oxw==","psolar.mx","https","438","0.002","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/1.1","-",,"53668","0.002","Hit","text/html","19326",,
"2022-02-04","05:32:33","LAX3-C3","574","217.160.192.178","GET","d1wndwkcgt1a74.cloudfront.net","/","301","anonymousfox.co","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/90.0.4430.85%20Safari/537.36","-","-","Redirect","Kv_T8sNmHFyVWHx3EUUUj29LEPT20POmUFLakLG2J9opMx55sLwYRg==","psolar.mx","http","438","0.0","-","-","-","Redirect","HTTP/1.1","-",,"52172","0.0","Redirect","text/html","183",,
"2022-02-04","05:32:25","LAX3-C3","574","217.160.192.178","GET","d1wndwkcgt1a74.cloudfront.net","/","301","anonymousfox.co","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/90.0.4430.85%20Safari/537.36","-","-","Redirect","-0lzQUHO8hqDyXd097MnTrgDUEszHabreLYRG9JqDnbfSqH5nLL1ig==","psolar.mx","http","438","0.0","-","-","-","Redirect","HTTP/1.1","-",,"60144","0.0","Redirect","text/html","183",,
"2022-02-02","15:43:35","LAX3-C3","19769","66.249.75.239","GET","d1wndwkcgt1a74.cloudfront.net","/robots.txt","200","-","Mozilla/5.0%20(compatible;%20Googlebot/2.1;%20+http://www.google.com/bot.html)","-","-","Error","CSIN9BKi37xfsz5DmL7v_GnjwEKKTKdNaIgJD0-eLez2jbcslMX-IQ==","psolar.mx","https","225","0.207","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Error","HTTP/1.1","-",,"43689","0.207","Error","text/html","19326",,
"2022-02-01","07:03:38","LAX50-C1","114350","207.46.13.95","GET","d1wndwkcgt1a74.cloudfront.net","/elm.js","200","-","Mozilla/5.0%20(compatible;%20MSIE%209.0;%20Windows%20NT%206.1;%20Trident/5.0)","-","-","Hit","07G0fzocrAhV0MihOG_GS6I762SKKmUShYuxEP3z2DCY7JfnThLxEA==","psolar.mx","https","126","0.03","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/2.0","-",,"62464","0.03","Hit","application/javascript","113904",,
"2022-02-04","20:26:22","LAX50-C1","19758","138.246.253.24","GET","d1wndwkcgt1a74.cloudfront.net","/robots.txt","200","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/88.0.4324.146%20Safari/537.36","-","-","Error","1t8m5W6BimmfvT736GgXPla1ix92LbeEnpy0Tm_4XlyeTCSuF6jgAQ==","psolar.mx","https","174","0.352","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Error","HTTP/1.1","-",,"41490","0.352","Error","text/html","19326",,
"2022-02-04","17:57:07","PHX50-C1","406","66.249.74.104","GET","d1wndwkcgt1a74.cloudfront.net","/blog/contacto","200","-","Mozilla/5.0%20(Linux;%20Android%206.0.1;%20Nexus%205X%20Build/MMB29P)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/98.0.4758.80%20Mobile%20Safari/537.36%20(compatible;%20Googlebot/2.1;%20+http://www.google.com/bot.html)","-","-","Error","czlep1VPmJCcnPLzxpFt_ObQXnHAOT7F8JsjsZnzSr5t0jnA5SaPfQ==","psolar.mx","https","548","0.175","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Error","HTTP/1.1","-",,"64269","0.175","Error","-",,,
