,,dac,dac,1c,1c,1c,1c,1c,1c,1c,1c,1e,1e,1e,1e,1e,1e,1e,1e,PDBT,PDBT,,,,,
,,fijo,var,dac,b,b,i1,i1,i2,i2,i3,dac,b,b,i1,i1,i2,i2,i3,fijo,var,,,,,
,,p,p,lim,p,s,p,s,p,s,p,lim,p,s,p,s,p,s,p,p,p,,,,,
mes,días,dacfijop,dacvarp,1cdaclim,1cbp,1cbs,1ci1p,1ci1s,1ci2p,1ci2s,1ci3p,1edaclim,1ebp,1ebs,1ei1p,1ei1s,1ei2p,1ei2s,1ei3p,PDBTfijop,PDBTvarp,,,,,
201607,31,90.09,3.299,850,0.697,150,0.822,150,1.05,150,2.802,2000,0.809,300,0.809,450,0.809,150,0.809,59.5,2.868,,,,,
201608,31,91.77,3.384,850,0.697,150,0.822,150,1.05,150,2.802,2000,0.809,300,0.809,450,0.809,150,0.809,60.61,2.942,,,,,
201609,30,92.45,3.527,850,0.793,150,0.956,150,2.802,150,2.802,2000,0.809,300,0.809,450,0.809,150,0.809,61.06,3.066,,,,,
201610,31,92.86,3.531,850,0.793,75,0.956,100,2.802,0,0,2000,0.809,300,0.809,450,0.809,150,0.809,61.33,3.069,,,,,
201611,30,93.97,3.648,850,0.793,75,0.956,100,2.802,0,0,2000,0.809,75,0.976,125,2.859,0,,62.06,3.171,2.386,2.977,39.25,9.7,56.782
201612,31,94.17,3.699,850,0.793,75,0.956,100,2.802,0,0,2000,0.809,75,0.976,125,2.859,0,,62.1,3.15,,,,,
201701,31,95.67,3.796,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,63.18,3.299,2.482,2.993,40.85,15.3,65.134
201702,28,97.01,3.941,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,64.06,3.425,,,,,
201703,31,99.95,4.256,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,66,3.699,,,,,
201704,30,100.55,4.194,850,0.697,150,0.822,150,1.05,150,2.802,2000,,75,,125,,0,,66.4,3.645,,,,,
201705,31,99.84,3.991,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,65.93,3.469,,,,,
